restaurant_city,item_id,item_name,total_quantity_ordered
BTM,,Coffee,84
Banashankari,,Coffee,152
Bannerghatta Road,,Lassi,216
Basavanagudi,,Paratha,149
Bellandur,,Filter Coffee,164
Brigade Road,,Coffee,157
Brookefield,,Paratha,164
Church Street,,Pasta,176
Electronic City,,Paratha,201
Frazer Town,,Fruit Gateau,197
HSR,,Steak,219
Indiranagar,,Garlic Bread,138
JP Nagar,,Filter Coffee,650
Jayanagar,,Garlic Bread,122
Kalyan Nagar,,Paratha,202
Kammanahalli,,Coffee,896
Koramangala 4th Block,,Coffee,463
Koramangala 5th Block,,Tea,602
Koramangala 6th Block,,Coffee,929
Koramangala 7th Block,,Coffee,683
Lavelle Road,,Lassi,165
MG Road,,Coffee,1272
Malleshwaram,,Paratha,223
Marathahalli,,Aloo Paratha,305
New BEL Road,,Coffee,458
Old Airport Road,,Pizza,138
Rajajinagar,,Paratha,134
Residency Road,,Coffee,644
Sarjapur Road,,Apple Cider,194
Whitefield,,Pizza,192
