restaurant_city,total_revenue,total_orders,avg_order_value
Marathahalli,2106198.91,1471,1431.81
Whitefield,1850826.58,1549,1194.85
Malleshwaram,1799319.7,1571,1145.33
Indiranagar,1760398.27,1419,1240.59
New BEL Road,1605811.07,1623,989.41
Kalyan Nagar,1585501.11,1642,965.59
Lavelle Road,1547124.45,1089,1420.68
Church Street,1449158.03,1289,1124.25
Brigade Road,1412145.52,1221,1156.55
JP Nagar,1342925.34,1626,825.91
Bellandur,1251210.12,1121,1116.16
HSR,1222434.02,1278,956.52
Koramangala 4th Block,1206861.29,1328,908.78
Electronic City,1089863.51,1291,844.2
Koramangala 6th Block,1063693.44,1360,782.13
Bannerghatta Road,1006703.01,975,1032.52
BTM,992440.73,957,1037.03
Basavanagudi,973112.51,1157,841.07
Brookefield,887426.75,1007,881.26
Sarjapur Road,835687.81,1178,709.41
Frazer Town,807429.15,1310,616.36
Old Airport Road,776728.77,1299,597.94
MG Road,729367.42,1492,488.85
Rajajinagar,720249.9,1016,708.91
Banashankari,705503.27,1217,579.71
Koramangala 5th Block,626706.93,1303,480.97
Jayanagar,623816.53,1017,613.39
Residency Road,593015.0,1247,475.55
Koramangala 7th Block,527189.38,1094,481.89
Kammanahalli,451494.04,1264,357.19
