item_id,item_name,total_quantity_ordered,order_lines_count
,Coffee,7421,2473
,Paratha,3379,1126
,Tea,2296,766
,Cocktails,2178,2178
,Burgers,2044,2044
,Filter Coffee,1809,609
,Pasta,1779,1779
,Pizza,1723,1723
,Garlic Bread,1544,521
,Lassi,1467,483
,Biryani,1296,1296
,Roti,1254,418
,Salads,1184,1184
,Sandwiches,981,981
,Mocktails,924,924
,Fish,864,864
,Chicken Biryani,859,859
,Butter Chicken,846,846
,Aloo Paratha,840,273
,Noodles,781,781
,Waffles,761,761
,Mutton Biryani,750,750
,Tandoori Chicken,741,741
,Beer,700,700
,Steak,666,220
,Nachos,658,658
,Sea Food,654,654
,Sandwich,622,622
,Naan,618,205
,Rolls,603,603
,Ginger Tea,593,196
,Gulab Jamun,579,579
,Chicken Grill,576,576
,Chop Suey,536,536
,Butter Naan,532,180
,Sweet Lassi,531,172
,Maggi,521,521
,Chaat,498,498
,Dal Makhani,494,494
,Thali,474,474
,Masala Dosa,468,468
,Long Island Iced Tea,455,148
,Momos,453,453
,Chole,448,448
,Tiramisu,441,441
,Pav Bhaji,435,435
,French Fries,433,433
,Salad,428,428
,Vada,426,426
,Friendly Staff,422,422
,Hot Chocolate,415,415
,Samosa,412,412
,Buttermilk,411,411
,Macaroon,400,400
,Chicken Curry,399,399
,Fries,384,384
,Brownie,383,383
,Fish Curry,366,366
,Potato Wedges,366,366
,Chocolate Icecreams,363,363
,Chilli Chicken,358,358
,Hot Coffee,349,118
,Cheesecake,347,347
,Paneer Tikka,344,344
,Appam,342,342
,Thick Shakes,333,333
,Crispy Corn,321,321
,Hyderabadi Biryani,303,303
,Raita,298,298
,Rumali Roti,295,96
,Unlisted Mystery Dish,269,269
,Waffle Cone,269,269
,Panneer Butter Masala,268,268
,Chicken Wings,265,265
,Hot Gulab Jamun,261,261
,Panipuri,245,245
,Jal-jeera,244,244
,Ice Cream Sandwich,241,241
,Bbq Chicken Pizza,240,240
,Burrito,240,240
,Peri Peri Chicken,237,237
,Chicken Tikka,235,235
,Garlic Naan,233,75
,Vegetable Biryani,231,231
,Chicken Burger,229,229
,Cappuccino,226,226
,Shawarma,224,224
,Chicken Shawarama,221,221
,Cup Cake,217,217
,Poha,217,217
,Donut,206,206
,Vanilla Ice Cream,205,205
,Raj Kachori,204,204
,Wine,203,203
,Fruit Gateau,201,67
,Kulcha,200,67
,Apple Cider,198,198
,Falafel,198,198
,Ice Tea,198,65
,Bruschettas,192,192
,Tomato Soup,190,190
,Mango Cider,184,184
,Chicken Kebab,179,179
,Breakfast Buffet,178,178
,Masala Tea,177,58
,Lobster Bisque,176,176
,Neer Dosa,175,175
,Chicken Steak,175,58
,Masala Peanuts,173,173
,Manchow Soup,171,171
,Boti Kebab,167,167
,Ghee Rice,161,161
,Mustard Fish Curry,156,156
,Pasta Alfredo,156,156
,Thepla,155,155
,Chicken Boneless Biryani,153,153
,Ice Cream Roll,151,151
,Rooftop Ambience,151,151
,Tawa Pulav,151,151
,Peri Peri Fries,146,146
,Tandoori Roti,144,50
,Chicken Lasagne,143,143
,Mutton Chops,142,142
,Pita Bread,141,47
,Jeera Rice,139,139
,Kebab Platter,139,139
,Spaghetti,136,136
,Lunch Buffet,135,135
,Makke Ki Roti,134,45
,Chicken Roll,133,133
,Onion Rings,133,133
,Kulfi,132,132
,Craft Beer,130,130
,Pancakes,129,129
,Chocolate Cake,128,128
,Lasagne,128,128
,Chips,127,127
,Dhokla,127,127
,Dum Biryani,127,127
,Chai,126,126
,Chole Bhature,123,123
,Salsa,122,122
,Wings,120,120
,Andhra Meal,118,118
,Pork Chops,118,118
,Sushi,118,118
,Coorg Pandi Pizza,115,115
,Mojito,115,115
,Roast Chicken,115,115
,Paneer Tikka Masala,114,114
,Mutton Curry,113,113
,Salted Caramel,113,113
,Rabri,112,112
,Peri Peri Chicken Burger,110,110
,Veg Thali,110,110
,Ferrero Rocher,109,109
,Gelato,109,109
,Veggie Pizza,109,109
,Cheesy Garlic Bread,109,33
,Sunday Brunch,107,107
,Vegetarian,107,107
,Curd Rice,105,105
,Dragon Rolls,105,105
,Chicken Satay,104,104
,Beef Burger,103,103
,Schezwan Burger,103,103
,Spring Roll,103,103
,Cheese Balls,102,102
,Chicken Lollipop,102,102
,Crispy Chicken,102,102
,Idli,100,100
,Sangria,100,100
,Egg Curry,99,99
,Hakka Noodles,99,99
,Kheer,99,99
,Paneer Biryani,99,99
,Lime Soda,98,34
,Mutton Roganjosh,97,97
,Donne Biryani,96,96
,Enchiladas,96,96
,Chicken Majestic,95,95
,Coffee Hazelnut,95,34
,Stuffed Kulcha,95,34
,Grape Juice,95,30
,Margherita Pizza,94,94
,Murgh Makhani,94,94
,Pulpy Grape Juice,94,31
,Chocolava,93,93
,Amritsari Kulcha,93,28
,Brownie Fudge,92,92
,Daab Chingri,92,92
,French Toast,92,92
,Pongal,92,92
,Faluda,91,91
,Falafal Sandwich,90,90
,Veg Platter,90,90
,Chicken Nachos,89,89
,Beef Chilli,88,88
,Kesari Bath,88,88
,Shahi Paneer,88,88
,Dragon Chicken,87,87
,Nutella Pancakes,87,87
,Paneer Lollipop,87,87
,Egg Bhurji,86,86
,Hunan Chicken,86,86
,Vada Pav,86,86
,Kerala Parotta,85,85
,Tacos,85,85
,Dal Fry,83,83
,Kharabath,82,82
,Pepper Chicken,82,82
,Prompt Service,82,82
,Bengali Style Biryani,81,81
,Paan Ice Cream,81,81
,Salted Caramel Ice Cream,81,81
,Cheese Paratha,81,27
,Jalebi,80,80
,Murgh Ghee Roast,80,80
,Pork Ribs,80,80
,Draught Beer,79,79
,Lamb,79,79
,Arabian Grape Juice,79,24
,Barbeque Chicken,78,78
,Prawn,78,78
,Chicken Guntur,77,77
,Stout,77,77
,Beef Steak,77,27
,Egg Biryani,75,75
,Egg Chilli,74,74
,Peri Peri Pizza,74,74
,Chocolate Mousse,73,73
,Decor,73,73
,Masala Papad,73,73
,Paan Kulfi,73,73
,Malai Kofta,72,72
,Prawn Ghee Roast,72,72
,Rajma Chawal,72,72
,Mughlai Paratha,72,24
,Hot Chocolate Fudge,71,71
,Skillet Cookie,71,71
,Veg Burger,70,70
,Wood Fire Pizza,70,70
,Chicken Tikka Masala,69,69
,Chocolate Truffle,69,69
,Mini Idlis,69,69
,Sev Puri,69,69
,Veg Momos,69,69
,Wedges,69,69
,Chicken Dum Biryani,68,68
,Rice Bowl,68,68
,Chicken Momo,66,66
,Chilli Paneer,66,66
,Rice,66,66
,Bread Pudding,66,22
,Broccoli Soup,65,65
,Khichda,65,65
,Lobster,65,65
,Salted Caramel Brownie,65,65
,Chicken Sandwich,64,64
,Dumplings,64,64
