iter	F1	Logloss
0	0.9565483748	0.6490513443
1	0.9565616002	0.6091332685
2	0.9565595795	0.5726968209
3	0.9565840088	0.5386592497
4	0.9568498603	0.5095168433
5	0.9565992539	0.4836657292
6	0.9582873463	0.4669110605
7	0.9566664695	0.4450457917
8	0.9587190814	0.4321429495
9	0.959183416	0.4147810736
10	0.9591763781	0.4041842445
11	0.9591723442	0.3944549252
12	0.9591723442	0.3788944886
13	0.9591743611	0.3657678561
14	0.959202641	0.3513312297
15	0.9592319483	0.3442575374
16	0.9592663529	0.3382034847
17	0.9594360265	0.3325410165
18	0.9594501718	0.3273878037
19	0.9594491491	0.3159985875
20	0.9594390661	0.3117810303
21	0.9594845088	0.3083362485
22	0.9595319356	0.2996938209
23	0.9595238696	0.2958584924
24	0.9594370496	0.2882446412
25	0.9594380431	0.2770163594
26	0.9594622713	0.2700271939
27	0.959464288	0.2644504621
28	0.9594753933	0.2622141542
29	0.9595107239	0.2603918079
30	0.9595268819	0.2542135544
31	0.9595208322	0.2526348071
32	0.9595127661	0.251200105
33	0.9595238696	0.2498630277
34	0.9595208322	0.2465993166
35	0.9595258861	0.2454742555
36	0.9595248653	0.2396119346
37	0.9595137616	0.2366400705
38	0.9595268819	0.2358363647
39	0.9595208322	0.235135429
40	0.9595208322	0.2344774902
41	0.9595238446	0.2312265296
42	0.9595056954	0.230665956
43	0.9595056954	0.2301494565
44	0.9595188157	0.2296655426
45	0.9594673269	0.2253019753
46	0.9595177948	0.2231406151
47	0.9595157782	0.2227257463
48	0.9595157782	0.2221355534
49	0.9595056954	0.2180773391
50	0.9595036789	0.2177568544
51	0.9595056954	0.2148123103
52	0.9595137616	0.2124109494
53	0.9595157782	0.2111630807
54	0.9595137616	0.2100451773
55	0.9595208322	0.2098224992
56	0.9595117451	0.2090254739
57	0.9595188157	0.2088346503
58	0.9595147827	0.2086594433
59	0.9595238696	0.2084885771
60	0.9595238696	0.2083515065
61	0.9595238696	0.2082228402
62	0.9595238696	0.2081020222
63	0.9595379853	0.206602019
64	0.9604735849	0.2046574104
65	0.9604291349	0.2045646324
66	0.96096177	0.2031795967
67	0.9635738948	0.2007141716
68	0.9636247364	0.2001259376
69	0.9636206689	0.2000448171
70	0.963612534	0.199969348
71	0.9636023654	0.1998858844
72	0.9636003318	0.1998057275
73	0.9635860963	0.1996870212
74	0.9636694816	0.198125868
75	0.9636694816	0.1980717512
76	0.9636654137	0.198003817
77	0.9636654137	0.1979537561
78	0.9636654137	0.1978788016
79	0.9636654137	0.1978421557
80	0.9636633797	0.1978090724
81	0.9636735495	0.1973540203
82	0.9636735495	0.1972944612
83	0.9636694816	0.1972519962
84	0.9636674476	0.196712906
85	0.9636654137	0.1966749564
86	0.9636654137	0.1966507649
87	0.9636654137	0.1965315813
88	0.9636654137	0.195531412
89	0.9636654137	0.1955001002
90	0.9636735495	0.1946804305
91	0.9636735495	0.1940542147
92	0.9636735495	0.1940329938
93	0.9636735495	0.1935203338
94	0.9636735495	0.1933646842
95	0.9636735495	0.1933423864
96	0.9636735495	0.193297953
97	0.9636715155	0.1932647587
98	0.9636715155	0.1932278284
99	0.9636694816	0.1931887436
100	0.9636755835	0.1924836328
101	0.9636755835	0.192474927
102	0.9636755835	0.1923071036
103	0.9636755835	0.1917806084
104	0.9636755835	0.1917344746
105	0.9636755835	0.1917026298
106	0.9636755835	0.1916894564
107	0.9636755835	0.191623524
108	0.9636755835	0.1914217134
109	0.9636755835	0.1914173814
110	0.9636755835	0.1914119234
111	0.9636755835	0.1912509328
112	0.9636755835	0.1912330104
113	0.9636755835	0.1909406832
114	0.9636755835	0.1909370235
115	0.9636755835	0.1909277756
116	0.9636755835	0.1908894058
117	0.9636755835	0.190864125
118	0.9636755835	0.1907214482
119	0.9636755835	0.1902682793
120	0.9636755835	0.1898486474
121	0.9636776175	0.1898314754
122	0.9636755835	0.1898109759
123	0.9636755835	0.1897923973
124	0.9636776175	0.1896412822
125	0.9636776175	0.1896361011
126	0.9636796515	0.189530943
127	0.9636837195	0.1893054867
128	0.9636898216	0.1891038967
129	0.9636898216	0.1890784836
130	0.9636898216	0.1890504807
131	0.9636918557	0.1890273483
132	0.9636918557	0.1890036562
133	0.9636918557	0.1889927986
134	0.9636898216	0.1889836134
135	0.9636898216	0.1889575348
136	0.9636959238	0.1886562191
137	0.9636959238	0.1886294708
138	0.9636979579	0.1881268492
139	0.9636889019	0.1879951847
140	0.9636778116	0.1878704646
141	0.9636798457	0.1878581934
142	0.9636798457	0.1876397239
143	0.9636839139	0.1876192022
144	0.9636818798	0.1875942104
145	0.9636818798	0.187574614
146	0.9636818798	0.1875691731
147	0.9636839139	0.1875519763
148	0.9636839139	0.1875416652
149	0.9636839139	0.1875253404
150	0.9636839139	0.1875087822
151	0.9636839139	0.1874843384
152	0.9636839139	0.1874843356
153	0.9636879822	0.1871916853
154	0.963685948	0.1871796263
155	0.9636990725	0.1871503125
156	0.9636990725	0.1871405027
157	0.9636990725	0.1871334075
158	0.9636990725	0.1871192837
159	0.9637031408	0.1870945732
160	0.9637031408	0.1870907068
161	0.9637031408	0.1870310207
162	0.9636900163	0.1870254683
163	0.9637031408	0.1870140216
164	0.9637031408	0.1869921972
165	0.9637031408	0.1869588446
166	0.9637031408	0.1869537591
167	0.9637031408	0.1869175175
168	0.963705175	0.1867545826
169	0.963705175	0.1867363606
170	0.963705175	0.1867300468
171	0.963705175	0.1867277706
172	0.9637072092	0.1866858315
173	0.9637072092	0.1866744242
174	0.9637072092	0.1866560271
175	0.9637072092	0.1866473488
176	0.9637072092	0.1866323118
177	0.963705175	0.1866166846
178	0.963705175	0.1865992926
179	0.9637072092	0.1865744117
180	0.9637112775	0.1864957792
181	0.9637153459	0.1864533989
182	0.9637194144	0.1864167527
183	0.9637153459	0.1863940551
184	0.9637153459	0.1863902033
185	0.9637295856	0.1863454217
186	0.9637295856	0.1863276495
187	0.9637295856	0.1863175374
188	0.9637295856	0.1863008421
189	0.9637295856	0.1862945677
190	0.9637295856	0.1862848572
191	0.9637295856	0.1862788967
192	0.9637295856	0.1862587284
193	0.9637295856	0.1862482195
194	0.9637336542	0.1861921476
195	0.9637336542	0.1861898641
196	0.9637580663	0.1859970413
197	0.9637580663	0.1859868312
198	0.9637580663	0.1859865951
199	0.9637580663	0.1859727995
200	0.9637580663	0.1859535944
201	0.9637621351	0.1859420817
202	0.9637601006	0.1859269705
203	0.9637662039	0.1859116684
204	0.9637702728	0.1859017952
205	0.9637702728	0.1858940255
206	0.9637702728	0.1858880689
207	0.9637702728	0.185873715
208	0.9637743417	0.1857209495
209	0.9637784106	0.1856980207
210	0.9637784106	0.1856701096
211	0.9637784106	0.1856622273
212	0.9637784106	0.18566099
213	0.9637784106	0.1856467987
214	0.9637784106	0.1856432433
215	0.9637784106	0.1856295605
216	0.9637784106	0.1856146776
217	0.9637935693	0.1855904378
218	0.9637996728	0.1855481438
219	0.9637996728	0.1855395683
220	0.9637996728	0.1855395156
221	0.9637996728	0.1855345625
222	0.9638017073	0.1855182252
223	0.9638017073	0.1854956705
224	0.9638057764	0.1854743999
225	0.9638057764	0.1854743974
226	0.9638078109	0.1854625208
