iter	RMSE
0	0.7364903098
1	0.735489965
2	0.7343624237
3	0.7332091218
4	0.7321617575
5	0.7311783808
6	0.73022348
7	0.729355994
8	0.7286227377
9	0.7277365803
10	0.7268472664
11	0.7260188266
12	0.7252689872
13	0.7244841589
14	0.7237300148
15	0.7229976882
16	0.7223768345
17	0.7216597716
18	0.7210327624
19	0.7203807956
20	0.7196919879
21	0.7190985546
22	0.7185429175
23	0.7179826082
24	0.7175072409
25	0.7169849922
26	0.7164880199
27	0.7159619363
28	0.715421017
29	0.7149117052
30	0.7144505932
31	0.7140400109
32	0.7136262115
33	0.7131736294
34	0.7127499997
35	0.7123104392
36	0.7119706712
37	0.7115470764
38	0.7111413825
39	0.7107613898
40	0.7103392287
41	0.7099808334
42	0.7096292591
43	0.7092924791
44	0.70895123
45	0.7086634763
46	0.7083232688
47	0.7079998377
48	0.7077391937
49	0.7074371549
50	0.7071182136
51	0.7068504253
52	0.7066203752
53	0.7063408085
54	0.7060844665
55	0.705838319
56	0.7056209931
57	0.7053284268
58	0.7050804289
59	0.7047868103
60	0.7045235397
61	0.7043235825
62	0.7041084185
63	0.7038570413
64	0.7036390831
65	0.7033991869
66	0.7031610416
67	0.7029660172
68	0.7027583703
69	0.702526599
70	0.7023308556
71	0.7021793849
72	0.7020241411
73	0.7018662753
74	0.7016780403
75	0.7014697466
76	0.7012435999
77	0.701016032
78	0.7008779101
79	0.7007035445
80	0.700528483
81	0.7002935646
82	0.7001230938
83	0.6999208745
84	0.6997509942
85	0.6995654608
86	0.6993706723
87	0.6992262498
88	0.699050169
89	0.6989061604
90	0.6987635699
91	0.6985892863
92	0.6984459028
93	0.6983381082
94	0.6981240632
95	0.6979682093
96	0.6977979308
97	0.6976433398
98	0.6975504878
99	0.6973512062
100	0.6971977392
101	0.6970751169
102	0.6968941028
103	0.6967870414
104	0.6966907504
105	0.6965621081
106	0.6964271913
107	0.6963077509
108	0.6961643926
109	0.6960684429
110	0.6959147615
111	0.6957776731
112	0.6956617961
113	0.6955197646
114	0.6954521109
115	0.6953569785
116	0.6952203826
117	0.6950570015
118	0.6949365701
119	0.6947659296
120	0.6946062283
121	0.6944825049
122	0.6943603942
123	0.694282644
124	0.6941552819
125	0.6940416308
126	0.6939580397
127	0.6938495097
128	0.6937776833
129	0.6936592411
130	0.6935358436
131	0.6934562663
132	0.6933267933
133	0.6931827405
134	0.6930959414
135	0.6930004423
136	0.692894207
137	0.6927999122
138	0.6927149103
139	0.6926182809
140	0.6925297091
141	0.6923881648
142	0.6922581026
143	0.6921210379
144	0.6920304244
145	0.6919440659
146	0.6918672716
147	0.6917549022
148	0.6916912008
149	0.6916118178
150	0.6914824502
151	0.691384171
152	0.6913211001
153	0.6912279691
154	0.6911295534
155	0.6910213528
156	0.6909192895
157	0.6908278076
158	0.6907540278
159	0.6907014551
160	0.6906134288
161	0.6905586829
162	0.6904850479
163	0.6904287244
164	0.6903545894
165	0.6902850879
166	0.6901937787
167	0.690102998
168	0.6900107735
169	0.6899679695
170	0.6898857537
171	0.689790732
172	0.6896952668
173	0.6896274311
174	0.6895631752
175	0.6894767607
176	0.6893398785
177	0.6892542197
178	0.6891667304
179	0.6891081452
180	0.6890432476
181	0.6889122855
182	0.6888334547
183	0.6887612445
184	0.6887065556
185	0.6886316879
186	0.6885166502
187	0.688461743
188	0.6883973574
189	0.6883048859
190	0.6882030915
191	0.6881526782
192	0.6881057828
193	0.6879948375
194	0.6879226722
195	0.6878630318
196	0.6877909918
197	0.687689921
198	0.6876253138
199	0.6875561786
200	0.6874977242
201	0.6874156335
202	0.6873619888
203	0.6872908538
204	0.687216217
205	0.6871513197
206	0.6870723831
207	0.6870057295
208	0.6869459532
209	0.6868734163
210	0.6868233517
211	0.6867703404
212	0.6867024235
213	0.6866617711
214	0.6865926342
215	0.6865507825
216	0.6864579506
217	0.6864111963
218	0.6863502939
219	0.6862722739
220	0.6862113709
221	0.6861553828
222	0.6860724629
223	0.686025488
224	0.6859383225
225	0.6858770609
226	0.6858172803
227	0.6857332828
228	0.6856542156
229	0.6855885002
230	0.6855150727
231	0.6854423537
232	0.6853872806
233	0.6853388228
234	0.6852839469
235	0.6852443369
236	0.68513034
237	0.685048545
238	0.684943688
239	0.6848774883
240	0.6848343232
241	0.6847626644
242	0.6847007367
243	0.6846413751
244	0.6845874236
245	0.6845186071
246	0.6844495096
247	0.6843853746
248	0.6843319295
249	0.6842761551
250	0.6841733757
251	0.684096163
252	0.6840532496
253	0.6839705579
254	0.6839023108
255	0.6838616452
256	0.6837878126
257	0.6837347954
258	0.683696246
259	0.6836539132
260	0.6836111522
261	0.6835781079
262	0.6835409037
263	0.6834565708
264	0.6834121195
265	0.6833313779
266	0.6832633179
267	0.6832244847
268	0.6831559254
269	0.6831129128
270	0.6830645076
271	0.683004319
272	0.682949358
273	0.6828904555
274	0.6828342264
275	0.6827718407
276	0.6827137104
277	0.6826568973
278	0.6825865802
279	0.6825336279
280	0.6824781244
281	0.682432546
282	0.6823699855
283	0.6823357435
284	0.6822916718
285	0.682219116
286	0.6821820968
287	0.6821418817
288	0.6820934388
289	0.6820605658
290	0.6820289973
291	0.681976432
292	0.6819145583
293	0.681885155
294	0.6818527536
295	0.6817860343
