iter	Passed	Remaining
0	11	17896
1	20	16220
2	31	16888
3	40	16227
4	51	16278
5	60	15970
6	68	15600
7	78	15637
8	85	15106
9	95	15163
10	104	15026
11	114	15131
12	122	15001
13	132	15022
14	142	15068
15	151	15014
16	160	14972
17	170	14951
18	180	15023
19	190	15068
20	199	15019
21	210	15067
22	219	15047
23	229	15087
24	239	15076
25	248	15042
26	258	15060
27	267	15032
28	278	15068
29	287	15058
30	296	15002
31	306	15033
32	315	14992
33	325	15004
34	333	14924
35	343	14926
36	352	14909
37	361	14860
38	371	14857
39	380	14850
40	390	14854
41	398	14789
42	408	14773
43	417	14757
44	425	14706
45	438	14803
46	448	14814
47	457	14777
48	465	14742
49	475	14732
50	484	14717
51	492	14672
52	503	14693
53	511	14658
54	521	14657
55	531	14648
56	540	14621
57	549	14602
58	557	14554
59	566	14551
60	575	14532
61	585	14527
62	597	14585
63	606	14561
64	616	14562
65	625	14530
66	635	14538
67	644	14527
68	653	14494
69	662	14471
70	672	14472
71	681	14467
72	690	14442
73	700	14443
74	709	14435
75	718	14405
76	728	14417
77	737	14391
78	746	14370
79	754	14344
80	775	14537
81	784	14515
82	795	14531
83	803	14506
84	813	14500
85	822	14487
86	832	14478
87	841	14459
88	851	14462
89	863	14488
90	874	14496
91	883	14489
92	894	14491
93	902	14462
94	911	14445
95	920	14426
96	929	14405
97	941	14422
98	949	14398
99	959	14393
100	968	14380
101	977	14359
102	988	14360
103	996	14332
104	1006	14330
105	1014	14303
106	1025	14304
107	1034	14290
108	1042	14264
109	1052	14251
110	1061	14244
111	1072	14251
112	1081	14235
113	1091	14222
114	1100	14213
115	1109	14188
116	1118	14177
117	1126	14152
118	1135	14133
119	1143	14107
120	1153	14097
121	1162	14085
122	1171	14073
123	1181	14062
124	1189	14038
125	1199	14029
126	1207	14003
127	1217	13997
128	1225	13975
129	1235	13968
130	1244	13956
131	1253	13936
132	1262	13924
133	1271	13906
134	1284	13937
135	1293	13927
136	1303	13918
137	1313	13913
138	1322	13897
139	1331	13884
140	1339	13862
141	1349	13854
142	1358	13839
143	1366	13820
144	1375	13806
145	1384	13790
146	1394	13786
147	1403	13769
148	1413	13766
149	1423	13756
150	1431	13738
151	1440	13725
152	1449	13707
153	1458	13699
154	1467	13679
155	1476	13671
156	1485	13654
157	1495	13648
158	1505	13640
159	1515	13642
160	1525	13636
161	1535	13627
162	1544	13617
163	1553	13601
164	1562	13584
165	1571	13578
166	1580	13561
167	1590	13554
168	1598	13538
169	1609	13536
170	1618	13524
171	1628	13518
172	1637	13508
173	1647	13497
174	1658	13507
175	1670	13515
176	1681	13517
177	1693	13528
178	1705	13538
179	1716	13540
180	1726	13538
181	1738	13547
182	1749	13547
183	1759	13542
184	1770	13545
185	1782	13552
186	1791	13536
187	1802	13535
188	1812	13530
189	1821	13519
190	1831	13513
191	1840	13496
192	1850	13489
193	1858	13471
194	1868	13464
195	1877	13448
196	1885	13430
197	1895	13424
198	1904	13407
199	1913	13395
200	1922	13379
201	1931	13370
202	1940	13350
203	1949	13343
204	1959	13333
205	1968	13318
206	1980	13329
207	1988	13307
208	1998	13299
209	2007	13288
210	2015	13270
211	2024	13257
212	2033	13241
213	2042	13229
214	2051	13214
215	2062	13214
216	2072	13206
217	2080	13192
218	2090	13181
219	2099	13167
220	2108	13157
221	2116	13138
222	2126	13132
223	2135	13118
224	2145	13111
225	2154	13100
226	2163	13084
227	2173	13078
228	2181	13061
229	2191	13053
230	2200	13041
231	2210	13032
232	2219	13021
233	2228	13006
234	2239	13006
235	2249	13003
236	2261	13004
237	2271	13000
238	2281	12990
239	2293	12996
240	2302	12983
241	2312	12976
242	2322	12971
243	2331	12954
244	2341	12947
245	2350	12935
246	2359	12925
247	2370	12922
248	2379	12911
249	2390	12907
250	2400	12900
251	2409	12886
252	2419	12879
253	2430	12881
254	2439	12866
255	2449	12861
256	2460	12858
257	2471	12855
258	2481	12850
259	2491	12843
260	2501	12833
261	2509	12816
262	2519	12808
263	2530	12808
264	2542	12808
265	2554	12813
266	2567	12816
267	2576	12804
268	2589	12811
269	2598	12799
270	2607	12786
271	2618	12782
272	2628	12775
273	2637	12764
274	2647	12755
275	2655	12739
276	2665	12732
277	2675	12721
278	2684	12709
279	2694	12701
280	2702	12684
281	2712	12676
282	2720	12662
283	2730	12654
284	2739	12640
285	2748	12627
286	2758	12618
287	2767	12607
288	2778	12603
289	2788	12594
290	2796	12579
291	2806	12572
292	2815	12558
293	2825	12549
294	2833	12533
295	2842	12524
296	2851	12509
297	2863	12509
298	2873	12502
299	2881	12487
300	2890	12475
301	2899	12463
302	2909	12454
303	2917	12439
304	2926	12427
305	2936	12415
306	2944	12402
307	2954	12395
308	2963	12382
309	2973	12373
310	2981	12358
311	2989	12343
312	2998	12331
313	3009	12325
