candidate_id,years_experience,current_title,skills,education_level,university,previous_companies,certifications,english_proficiency,expected_salary,candidate_location,willing_to_relocate,profile_completeness,account_created_date
1,7.0,Senior Full Stack Developer,Kafka|Tableau|FastAPI|Next.js|Flask,PhD,Generic State University 12,Generic Tech Co 25|Generic Tech Co 36,Azure-AZ305|GCP-ACE|Azure-AZ900,Upper-Intermediate,120747.05651958485,Shiraz,No,97,2022-07-16
2,0.0,Junior DevOps Engineer,Svelte|GitLab-CI|Linux|C#,PhD,,Generic Tech Co 15|Generic Tech Co 33|Microsoft|Airbnb|Generic Tech Co 44,Kubernetes-CKAD|AWS-SAP,C2,44296.358530956844,Isfahan,No,81,2022-03-02
3,6.0,Junior Data Analyst,REST API|Terraform|Kafka|Docker|GitLab-CI|Linux|HTML,Bachelor,,Generic Tech Co 7|Apple|Generic Tech Co 43|Generic Tech Co 80|Generic Tech Co 74,GCP-ACE|PMP,C1,93343.153056769,Toronto,No,90,2021-11-18
4,3.0,Junior ML Engineer,Python|Node.js|dbt|SASS|Communication|Django|Spring|Testing,Master,Generic State University 92,Generic Tech Co 40|Generic Tech Co 6,,B1,53739.860428499946,Toronto,No,91,2024-01-13
5,19.0,Jr. Data Analyst,Redux|Python|JSON|Tableau|Webpack|TypeScript|Spring,Bachelor,,Generic Tech Co 22|Generic Tech Co 37,,C2,196338.70807552247,Remote,Yes,77,2020-06-10
6,2.0,Junior Web Developer,Git|Redux|C#|Docker|Pandas|TypeScript|R,Bachelor,Generic State University 51,Generic Tech Co 57|Apple|Generic Tech Co 10|Generic Tech Co 22|Meta|Generic Tech Co 53,AWS-CSA|AWS-SAP,C2,67268.85099432169,Shiraz,No,96,2023-08-16
7,8.0,Web Developer,JavaScript|Agile|Python|MongoDB|Prometheus|Svelte|XGBoost|Angular|GitLab-CI|NumPy|PySpark,Master,Generic State University 74,,CEH|Kubernetes-CKA,B2,115616.66484236473,Istanbul,Yes,88,2021-08-20
8,5.0,Senior Software Engineer,JavaScript|dbt|Svelte|Testing|SQL,Master,University of Oxford,,,A2,96979.08143815727,Berlin,,76,2021-04-14
9,4.0,Senior DevOps Engineer,Next.js|Docker|Angular|Java|YAML|Testing,Master,Generic State University 15,Generic Tech Co 29|Generic Tech Co 61,Scrum-Master,B1,93629.09517490455,Munich,No,100,2022-04-14
10,6.0,Senior Software Engineer,Python|Flask|Docker|Webpack|PostgreSQL|dbt|Vue|PySpark|HTML,Bachelor,Online University X,,PMP|Terraform-Associate|PCI-DSS|Azure-AZ104,,110390.97500578403,tehran,Yes,75,2020-01-19
