event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index,strategy
1000_154_1,1000,154,210,11,2018,12,Hungarian Grand Prix,Haas F1 Team,Hungaroring,29,1,21733,70,10,8,20.0,59.0,3099,29.0,41,11.801,2.542,0,160.0,2,0,0,14.0,0.4142857142857143,0.4142857142857143,0.3604452662440659,Standard
1000_1_1,1000,1,131,11,2018,12,Hungarian Grand Prix,Mercedes,Hungaroring,25,1,21480,70,1,1,188.0,310.0,2778,25.0,45,,4.579,0,1098.0,0,0,2,10.0,0.35714285714285715,0.35714285714285715,,Standard
1000_20_1,1000,20,6,11,2018,12,Hungarian Grand Prix,Ferrari,Hungaroring,39,1,23111,70,4,1,171.0,302.0,2577,39.0,31,,7.816,0,1298.6666666666715,3,0,1,24.0,0.5571428571428572,0.5571428571428572,,Standard
1000_825_1,1000,825,210,11,2018,12,Hungarian Grand Prix,Haas F1 Team,Hungaroring,31,1,25126,70,9,7,39.0,59.0,2998,31.0,39,12.258,10.361,0,473.6666666666715,2,0,1,16.0,0.44285714285714284,0.44285714285714284,0.16344657852913325,Standard
1000_845_1,1000,845,3,11,2018,12,Hungarian Grand Prix,Williams,Hungaroring,31,1,21509,70,20,15,0.0,4.0,2880,31.0,39,11.93,5.083,0,941.6666666666715,5,1,2,16.0,0.44285714285714284,0.44285714285714284,0.2417320899508335,Overcut
1001_154_1,1001,154,210,13,2018,13,Belgian Grand Prix,Haas F1 Team,Circuit de Spa-Francorchamps,1,1,20280,44,5,6,21.0,66.0,0,1.0,43,1.296,1.326,0,,-1,5,5,-8.0,0.022727272727272728,0.022727272727272728,0.8654626836159038,Undercut
1001_839_1,1001,839,10,13,2018,13,Belgian Grand Prix,Force India,Circuit de Spa-Francorchamps,1,1,19582,44,3,4,29.0,59.0,0,1.0,43,0.718,1.683,0,,-1,3,3,-8.0,0.022727272727272728,0.022727272727272728,0.954789284665186,Undercut
1002_832_1,1002,832,4,14,2018,14,Italian Grand Prix,Renault,Autodromo Nazionale di Monza,39,1,25774,53,7,7,30.0,82.0,4924,39.0,14,11.304,0.352,0,309.0,0,1,3,18.5,0.7358490566037735,0.7358490566037735,0.8209193527288957,Overcut
1003_154_1,1003,154,210,15,2018,15,Singapore Grand Prix,Haas F1 Team,Marina Bay Street Circuit,16,1,29517,61,8,14,27.0,76.0,10523,16.0,45,0.972,0.79,0,2037.0,-6,1,5,7.0,0.26229508196721313,0.26229508196721313,1.0657586093578253,Undercut
1003_20_1,1003,20,6,15,2018,15,Singapore Grand Prix,Ferrari,Marina Bay Street Circuit,14,1,28722,61,3,4,226.0,390.0,7645,14.0,47,1.472,0.142,0,1031.0,-1,0,0,5.0,0.22950819672131148,0.22950819672131148,1.2801874868934873,Standard
