event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index
1000_4_1,1000,4,1,11,2018,12,Hungarian Grand Prix,McLaren,Hungaroring,39,1,21795,70,11,7,40.0,48.0,2404,39.0,31,7.052,1.338,0,220.66666666667152,4,1,2,24.0,0.5571428571428572,0.5571428571428572,0.5519087437218388
1000_807_1,1000,807,4,11,2018,12,Hungarian Grand Prix,Renault,Hungaroring,23,1,21966,70,13,11,52.0,80.0,2395,23.0,47,1.102,1.284,0,200.66666666667152,2,0,1,8.0,0.32857142857142857,0.32857142857142857,0.9135657642375454
1000_807_2,1000,807,4,11,2018,12,Hungarian Grand Prix,Renault,Hungaroring,50,2,22650,70,13,12,52.0,80.0,18185,27.0,20,1.495,14.039,1,842.6666666666715,1,0,0,5.0,0.7142857142857143,0.38571428571428573,0.46729538603771803
1000_815_1,1000,815,10,11,2018,12,Hungarian Grand Prix,Force India,Hungaroring,22,1,22561,70,19,15,30.0,59.0,2313,22.0,48,3.948,5.776,0,189.66666666667152,4,0,0,7.0,0.3142857142857143,0.3142857142857143,0.34968155237134435
1000_817_1,1000,817,9,11,2018,12,Hungarian Grand Prix,Red Bull,Hungaroring,44,1,21364,70,12,4,106.0,211.0,3229,44.0,26,12.415,4.379,0,1053.3333333333285,8,0,0,29.0,0.6285714285714286,0.6285714285714286,0.2604515829113329
1000_822_1,1000,822,131,11,2018,12,Hungarian Grand Prix,Mercedes,Hungaroring,15,1,21337,70,2,2,122.0,310.0,1517,15.0,55,8.64,0.022,0,364.3333333333285,0,0,1,0.0,0.21428571428571427,0.21428571428571427,1.0822080210473322
1000_828_1,1000,828,15,11,2018,12,Hungarian Grand Prix,Sauber,Hungaroring,6,1,22640,70,14,18,5.0,18.0,14164,6.0,64,0.052,,0,414.6666666666715,-4,0,0,-9.0,0.08571428571428572,0.08571428571428572,
1000_832_1,1000,832,4,11,2018,12,Hungarian Grand Prix,Renault,Hungaroring,25,1,21914,70,5,8,28.0,80.0,2560,25.0,45,8.497,2.401,0,99.66666666667152,-3,1,3,10.0,0.35714285714285715,0.35714285714285715,0.3993275766961739
1000_838_1,1000,838,1,11,2018,12,Hungarian Grand Prix,McLaren,Hungaroring,40,1,21732,70,16,7,8.0,48.0,2470,40.0,30,10.741,1.283,0,100.0,9,0,4,25.0,0.5714285714285714,0.5714285714285714,0.5231917697427948
1000_839_1,1000,839,10,11,2018,12,Hungarian Grand Prix,Force India,Hungaroring,39,1,22258,70,18,12,29.0,59.0,3956,39.0,31,1.053,1.188,0,1162.3333333333285,6,2,3,24.0,0.5571428571428572,0.5571428571428572,0.9441304516242784
1000_840_1,1000,840,3,11,2018,12,Hungarian Grand Prix,Williams,Hungaroring,47,1,21291,70,15,17,4.0,4.0,3248,47.0,23,0.843,0.498,0,400.6666666666715,-2,0,0,32.0,0.6714285714285714,0.6714285714285714,1.2101503397186482
1000_842_1,1000,842,5,11,2018,12,Hungarian Grand Prix,Toro Rosso,Hungaroring,32,1,21684,70,6,6,18.0,20.0,2393,32.0,38,12.366,19.99,0,225.66666666667152,0,0,2,17.0,0.45714285714285713,0.45714285714285713,0.12245843324635966
1000_843_1,1000,843,5,11,2018,12,Hungarian Grand Prix,Toro Rosso,Hungaroring,24,1,21831,70,8,10,2.0,20.0,1916,24.0,46,0.066,2.978,0,198.66666666667152,-2,0,2,9.0,0.34285714285714286,0.34285714285714286,1.189468908263743
1000_8_1,1000,8,6,11,2018,12,Hungarian Grand Prix,Ferrari,Hungaroring,14,1,24471,70,3,4,131.0,302.0,2424,14.0,56,4.231,8.059,0,532.0,-1,0,0,-1.0,0.2,0.2,0.3015554966888088
1000_8_2,1000,8,6,11,2018,12,Hungarian Grand Prix,Ferrari,Hungaroring,38,2,21829,70,3,4,131.0,302.0,3073,24.0,32,4.621,2.473,0,686.3333333333285,-1,0,0,2.0,0.5428571428571428,0.34285714285714286,0.46583978994078035
1001_154_2,1001,154,210,13,2018,13,Belgian Grand Prix,Haas F1 Team,Circuit de Spa-Francorchamps,23,2,23248,44,5,7,21.0,66.0,4492,22.0,21,3.098,0.978,0,48.66666666667152,-2,0,3,9.0,0.5227272727272727,0.5,0.7495826467916235
1001_1_1,1001,1,131,13,2018,13,Belgian Grand Prix,Mercedes,Circuit de Spa-Francorchamps,1,1,19372,44,1,2,213.0,345.0,0,1.0,43,1.825,1.13,0,,-1,1,1,-8.0,0.022727272727272728,0.022727272727272728,0.8234658689600731
1001_1_2,1001,1,131,13,2018,13,Belgian Grand Prix,Mercedes,Circuit de Spa-Francorchamps,21,2,22375,44,1,2,213.0,345.0,5203,20.0,23,7.938,10.007,0,519.0,-1,0,0,7.0,0.4772727272727273,0.45454545454545453,0.20273312922391606
1001_20_1,1001,20,6,13,2018,13,Belgian Grand Prix,Ferrari,Circuit de Spa-Francorchamps,1,1,19582,44,2,1,189.0,335.0,0,1.0,43,,1.825,0,,1,0,0,-8.0,0.022727272727272728,0.022727272727272728,
1001_20_2,1001,20,6,13,2018,13,Belgian Grand Prix,Ferrari,Circuit de Spa-Francorchamps,22,2,22253,44,2,1,189.0,335.0,4502,21.0,22,,14.238,0,409.0,1,0,1,8.0,0.5,0.4772727272727273,
1001_815_1,1001,815,10,13,2018,13,Belgian Grand Prix,Force India,Circuit de Spa-Francorchamps,1,1,19667,44,4,3,30.0,59.0,0,1.0,43,1.13,0.718,0,,1,2,2,-8.0,0.022727272727272728,0.022727272727272728,1.0515557450250592
1001_815_2,1001,815,10,13,2018,13,Belgian Grand Prix,Force India,Circuit de Spa-Francorchamps,25,2,23157,44,4,4,30.0,59.0,4926,24.0,19,23.727,6.077,0,206.33333333332848,0,0,4,11.0,0.5681818181818182,0.5454545454545454,0.18174443444385274
1001_822_1,1001,822,131,13,2018,13,Belgian Grand Prix,Mercedes,Circuit de Spa-Francorchamps,1,1,20349,44,19,15,132.0,345.0,0,1.0,43,2.634,1.412,0,,4,13,13,-8.0,0.022727272727272728,0.022727272727272728,0.6897725644388588
1001_822_2,1001,822,131,13,2018,13,Belgian Grand Prix,Mercedes,Circuit de Spa-Francorchamps,2,2,30519,44,19,14,132.0,345.0,9118,1.0,42,4.699,0.351,0,0.0,5,0,16,-12.0,0.045454545454545456,0.022727272727272728,0.9156618306300961
1001_822_3,1001,822,131,13,2018,13,Belgian Grand Prix,Mercedes,Circuit de Spa-Francorchamps,29,3,22399,44,19,4,132.0,345.0,4611,27.0,15,19.816,4.451,0,261.6666666666715,15,0,1,14.0,0.6590909090909091,0.6136363636363636,0.2314925467631337
1001_825_1,1001,825,210,13,2018,13,Belgian Grand Prix,Haas F1 Team,Circuit de Spa-Francorchamps,1,1,20021,44,9,7,45.0,66.0,0,1.0,43,1.326,2.385,0,,2,6,6,-8.0,0.022727272727272728,0.022727272727272728,0.7253435888187099
1001_825_2,1001,825,210,13,2018,13,Belgian Grand Prix,Haas F1 Team,Circuit de Spa-Francorchamps,26,2,24304,44,9,7,45.0,66.0,4732,25.0,18,2.196,2.076,0,819.6666666666715,2,1,5,12.0,0.5909090909090909,0.5681818181818182,0.637988643151143
1001_828_1,1001,828,15,13,2018,13,Belgian Grand Prix,Sauber,Circuit de Spa-Francorchamps,1,1,19711,44,13,9,5.0,18.0,0,1.0,43,1.114,1.493,0,,4,8,8,-8.0,0.022727272727272728,0.022727272727272728,0.8741600416834118
1001_828_2,1001,828,15,13,2018,13,Belgian Grand Prix,Sauber,Circuit de Spa-Francorchamps,26,2,22558,44,13,9,5.0,18.0,3982,25.0,18,3.629,11.141,0,160.33333333332848,4,2,6,12.0,0.5909090909090909,0.5681818181818182,0.29839491825447195
1001_830_1,1001,830,9,13,2018,13,Belgian Grand Prix,Red Bull,Circuit de Spa-Francorchamps,1,1,19942,44,7,5,105.0,223.0,0,1.0,43,1.683,1.296,0,,2,4,4,-8.0,0.022727272727272728,0.022727272727272728,0.8082571774016553
1001_830_2,1001,830,9,13,2018,13,Belgian Grand Prix,Red Bull,Circuit de Spa-Francorchamps,26,2,22341,44,7,3,105.0,223.0,4477,25.0,18,11.445,25.595,0,654.0,4,0,4,12.0,0.5909090909090909,0.5681818181818182,0.11795460847431652
1001_832_1,1001,832,4,13,2018,13,Belgian Grand Prix,Renault,Circuit de Spa-Francorchamps,1,1,18509,44,14,14,30.0,82.0,0,1.0,43,1.327,2.634,0,,0,12,12,-8.0,0.022727272727272728,0.022727272727272728,0.7049167261685287
1001_832_2,1001,832,4,13,2018,13,Belgian Grand Prix,Renault,Circuit de Spa-Francorchamps,22,2,23857,44,14,14,30.0,82.0,4618,21.0,22,2.484,5.895,0,79.33333333332848,0,1,2,8.0,0.5,0.4772727272727273,0.4320590387716685
1001_838_1,1001,838,1,13,2018,13,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,1,1,19847,44,18,16,8.0,52.0,0,1.0,43,1.412,35.154,0,,2,14,14,-8.0,0.022727272727272728,0.022727272727272728,0.4422531549440568
1001_838_2,1001,838,1,13,2018,13,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,2,2,22706,44,18,16,8.0,52.0,7166,1.0,42,0.521,,0,0.0,2,1,17,-12.0,0.045454545454545456,0.022727272727272728,
1001_838_3,1001,838,1,13,2018,13,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,28,3,23389,44,18,15,8.0,52.0,4249,26.0,16,9.554,176.759,0,1226.0,3,0,3,13.0,0.6363636363636364,0.5909090909090909,0.10037639958523348
